k,delta_phi_deg,freq_ratio_2powk_over_45,radius_ratio_2powk_over_3
0,8,0.022222222222222223,1.0
1,16,0.044444444444444446,1.2599210498948732
2,32,0.08888888888888889,1.5874010519681994
3,64,0.17777777777777778,2.0
4,128,0.35555555555555557,2.519842099789746
5,256,0.7111111111111111,3.1748021039363987
6,152,1.4222222222222223,4.0
7,304,2.8444444444444446,5.039684199579493
8,248,5.688888888888889,6.349604207872797
9,136,11.377777777777778,8.0
10,272,22.755555555555556,10.079368399158986
11,184,45.51111111111111,12.699208415745593
