t_sec,w1,w2,w3,r_target
0.0,0.33333333333311105,0.6220084679277315,0.0446581987384908,0.4483844041605952
0.25,0.3520079263185082,0.6196799504914575,0.028312123189355616,0.44737346180796084
0.5,0.37047027020593437,0.6142152292102804,0.015314500583095846,0.44647205222220143
0.75,0.38846600806210807,0.6054435702600178,0.006090421677175296,0.44570022085399685
1.0,0.40573365791427796,0.5932789862397643,0.0009873558452514742,0.4450757992671952
1.25,0.42201747623334823,0.5777336731782912,0.00024885058764881145,0.44461324250959217
1.5,0.43708133381347375,0.5589254115629092,0.003993254622901775,0.44432259488002
1.75,0.4507222247603231,0.5370774614276854,0.01220031381127536,0.44420870965929427
2.0,0.4627819341883692,0.5125103983399736,0.024707667470942274,0.4442708254681872
2.25,0.47315555451602814,0.48562644332541993,0.04121800215784044,0.4445025580946359
2.5,0.4817959480177351,0.4568879024166554,0.061316149564903694,0.4448923100397113
2.75,0.4887138221409302,0.42679211532147937,0.0844940625368921,0.4454240427405201
3.0,0.493973688759374,0.39584565420400564,0.11018065703593122,0.4460783107712965
3.25,0.4976864902220208,0.3645403697089539,0.1377731400683468,0.44683343210581483
3.5,0.4999999999996667,0.3333333333331112,0.16666666666655547,0.44766666666636823
3.75,0.501088207749301,0.30263193975919417,0.19627985249085064,0.44855529381768694
4.0,0.5011407993339785,0.272784601418162,0.22607459924721834,0.449477510994354
4.25,0.5003536032254428,0.24407675072036544,0.2555696460535638,0.45041311174028714
4.5,0.4989205715491739,0.2167313592374671,0.2843480692127443,0.4513439347134871
4.75,0.49702756441679813,0.19091291426739193,0.3120595213152083,0.4522541009212435
5.0,0.49484795642002943,0.16673373427394603,0.33841830930543537,0.45313007276485906
5.25,0.49253990614488835,0.14426159850485232,0.3631984953496823,0.453960575889665
5.5,0.49024502497785294,0.1235278484860887,0.3862271265354925,0.4547364252479402
5.75,0.4880881390743016,0.10453533440484275,0.4073765265203003,0.45545029256686986
6.0,0.4861778412264896,0.08726578772788236,0.42655637104508226,0.45609644578903347
