resonance,eta_1,eta_2,eta_3,eta_total
0.39,2.5868100222654395e-05,7.287724095819692e-14,4.198342980749718e-29,2.5868100295531636e-05
0.3905,3.385571371320438e-05,1.150507824176196e-13,8.21995651616289e-29,3.3855713828255166e-05
0.391,4.415617494776104e-05,1.810002870421686e-13,1.603810890548706e-28,4.415617512876133e-05
0.3915,5.739088873946936e-05,2.837664086345711e-13,3.118378513105879e-28,5.739088902323577e-05
0.392,7.433382621906966e-05,4.433377746328046e-13,6.042219991761088e-28,7.433382666240744e-05
0.3925,9.594493631474937e-05,6.902406354343941e-13,1.1666921364587021e-27,9.594493700499e-05
0.393,0.00012340980408668108,1.0709232382508077e-12,2.2449570727191064e-27,0.00012340980515760432
0.3935,0.00015818645731809674,1.65580120723573e-12,4.304788752440801e-27,0.00015818645897389794
0.394,0.00020206028905112925,2.5512327442763534e-12,8.225980595144253e-27,0.000202060291602362
0.3945,0.0002572081188006682,3.917274439509767e-12,1.5664464401773843e-26,0.0002572081227179426
0.395,0.0003262724538032025,5.993906310054496e-12,2.972593012420801e-26,0.0003262724597971088
0.3955,0.0004124470278464196,9.139615695617863e-12,5.621437520958713e-26,0.0004124470369860353
0.396,0.000519574682154845,1.3887943864964021e-11,1.0593789926012788e-25,0.0005195746960427888
0.3965,0.0006522586029100678,2.1030035367642263e-11,1.9895156432119545e-25,0.0006522586239401031
0.397,0.0008159878350721585,3.173467732203321e-11,3.723363121750669e-25,0.0008159878668068357
0.3975,0.0010172778436147124,4.772217220174583e-11,6.94409191404511e-25,0.0010172778913368845
0.398,0.0012638266822766308,7.151519930618768e-11,1.29058781794613e-24,0.0012638267537918302
0.3985,0.0015646870477984587,1.0679933196360524e-10,2.390296057869151e-24,0.0015646871545977907
0.399,0.001930454136227735,1.589391009451648e-10,4.41171919699619e-24,0.0019304542951668361
0.3995,0.0023734687701556143,2.3571379550249677e-10,8.114393451679559e-24,0.00237346900586941
0.4,0.0029080347261855907,3.483624072895658e-10,1.4872921816513234e-23,0.002908035074547998
0.4005,0.003550648557242583,5.130617026091795e-10,2.716617918786374e-23,0.0035506490703042853
0.401,0.0043202394740941156,7.530086171435173e-10,4.944847017305751e-23,0.004320240227102733
0.4015,0.005238416027833165,1.1013423189775992e-09,8.969519784102486e-23,0.005238417129175483
0.402,0.00632971542748582,1.605228055185623e-09,1.6213529171513506e-22,0.006329717032713875
